Tibetan,English,Author
བྱས་ཙང་ངས་བརྙན་ལེན་འཕྲུལ་འཁོར་ཆུང་ཆུང་ཞིག་བསྒར་ནས་་་ ཨང་ཀིའི་མིག་ཞིག་ཏུ་བརྩིས་པར་ཆ་བཞག,So I put a small camera over there that acts as a digital eye.,ted2019
བལྟས་ཚོད་ཀྱིས་དགོད་བྲོ་བ་ཞིག་ཡིན་ནའང་།,I know that seems ludicrous.,ted2019
དཔེ་དེབ་དེ་དག་གིས་ངའི་འཆར་སྒོ་དཀྲུགས་པ་དང་འཇིག་རྟེན་གསར་བ་ཞིག་གི་སྒོ་མོ་ཕྱེས་བྱུང་།,They stirred my imagination.,ted2019
རྒན་ཚད་ལོངས་པ་འབའ་ཞིག།,Adults only.,tatoeba
གལ་ཏེ་འདིར་འདུས་ཀྱི་འཇོན་ནུས་ལྡན་པའི་(TED)ཉན་མཁན་ཚོས་ཆ་ཤས་ཤིག་གིས་ ཡིད་དུ་འོང་བའི་ཤོག་བུ་ཞིག་ཉོ་བར་སྐུལ་འདེགས་དང་། ༼Johnདེ་ནི་བསྐྱར་བཟོ་བྱས་པ་ཞིག་རེད།༽དེང་སྟེང་ རང་ཉིད་དུང་སའི་མི་ཞིག་ལ་ཡིད་དུ་འོང་བའི་འཕྲིན་ཡིག་ཅིག་བྲི་ན། ང་ཚོས་དངོས་ནས་གསར་བརྗེ་ཞིག་འགོ་བཙུགས་ཡོང་། དེ་འདྲའི་འོག་ང་ཚོའི་ཕྲུག་གུ་ཚོས་ཡིག་གཟུགས་འབྲི་རྩལ་གྱི་འཛིན་གྲྭར་ཞུགས་སྲིད་ཀྱི་རེད།,"If a fraction of this powerful TED audience could be inspired to buy a beautiful paper -- John, it'll be a recycled one -- and write a beautiful letter to someone they love, we actually may start a revolution where our children may go to penmanship classes.",ted2019
6ཆུང་ལ་སྐྱོ་བའི་ནག་ཁུང་ཞིག,Six is a tiny and very sad black hole.,ted2019
ང་ཚོའི་མ་འོངས་གང་འདྲ་ཞིག་ཡིན་ཀྱང་ཞི་མིར་འཐབ་རྩོད་བྱེད་དགོས།,"Whatever the future is, we should fight against the [cat].",ted2019
ཁོང་ཚོའི་དབྱིངས་བཞུཊ་ས་ནི་ཆ་འཕྲིན་རེད།,What we are interested in is information.,ted2019
"གསུམ་པ་བརྒྱབས་པ་དེ་ཁང་པ་ཨང་གྲངས་གསུམ་པ་རེད། དེ་ལས་སླ་པོ་རེད། དེ་གསལ་པོ་རེད་""","It's obvious.""",ted2019
ང་ཚོ་ལོག་འགྲོ་དགོས།,Let's go back.,Tatoeba-2020.08
འོན་ཀྱང་། ད་འཕྱི་དྲགས་པ་རེད།,But too late.,ted2019
ངས་ཁོ་ཚོའི་མིག་ནང་ནས་,I can see it in their eyes.,ted2019
ང་ཚོའི་ངོ་ཤེས་པ་དེ་ཕ་རི་སི་ལ་འབྱུང་མ་སོང་།,It wasn't in Paris that we met.,tatoeba
དེར་ཡར་ཕེབས་རོགས་གནང་།,Come on up here.,Tatoeba-2020.08
དེ་ལྟར་འགྲེལ་རྒྱག་པར་ཨང་རྩིས་ནི་ཆེས་ཤིན་ཏུ་ནུས་པ་ལྡན་པའི་སྐད་རིགས་ཤིག་རེད་འདོད།,And I think that mathematics will be a very powerful language to do that.,ted2019
ཉིན་གུང་བདེ་ལེགས་,Good afternoon!,Tatoeba-2020.08
ང་ཚོ་ཚང་མས་ཧ་གོ་གི་ཡོད།,We all know.,ted2019
ཨལྒོར་གྱིས་ཕལ་ཆེན་ཤེས་ཐབས་ཁ་པོ་རེད། ས་དེར་གནས་ཚུལ་གང་ཡང་ལྷག་སྲིད།,It's basically everything.,ted2019
ཨ་མས་བཤད་ན། ངས་ལོ་གཉིས་ཀྱི་ཐོག་ནས་དཔེ་ཆ་བཀླགས་འགོ་བརྩམས་སོང་ཟེར། ཡིན་ཡང་། ངས་བསམ་པར་ལོ་བཞི་ནས་བཙུཊ་པ་དེ་ནི་བདེན་པ་དང་ཐག་ཉེ་བ་ཡོད།,"My mother says that I started reading at the age of two, although I think four is probably close to the truth.",ted2019
ཨ་ཧྥེ་རི་ཁར་བཟུང་བའི་ལྟ་སྟངས་ངོས་གཅིག་མ་འདི་ངས་བལྟས་ན་ནུབ་ཕྱོགས་ རྩོམ་རིག་ནས་བྱུང་འདུག།,"This single story of Africa ultimately comes, I think, from Western literature.",ted2019
དེ་རྗེས་ངོ་ཚ་ཆེན་པོ་སྐྱེས་བྱུང་།,"And then, I was overwhelmed with shame.",ted2019
ངའི་འཇིག་རྟེན་དུ། ཡི་གེ་དང་ཨང་ཀི་ལ་ ཁ་དོག་དང་སེམས་ཚོར་འདྲེས་ཡོད་པ་རེད། ད་དུང་སྒེར་གཤིས་ཀྱང་ཡོད།,"My worlds of words and numbers blur with color, emotion and personality.",ted2019
འོན་ཀྱང་། ད་ལྟའི་ནུབ་ཕྱོགས་ཀྱི་འཕེལ་ཤུགས་ཟད་མཐར་སླེབས་ཟིན།,That's over.,ted2019
ངའི་ཨ་རིའི་ཤག་རོགས་དེ་ང་ལ་ཧང་སངས་འདུག།,My American roommate was shocked by me.,ted2019
ངས་འདིར་འདུས་ཀྱི་རྩོམ་པ་པོ་དག་གི་ལག་ནས་སུག་བྲིས་དཔེ་དེབ་མཁོ་སྒྲུབ་བྱེད་ཀྱི་ཡོད། ངས་ཁྱེད་ཚོས་རྗེས་འདེད་མང་པོ་བཏང་བ་འདིར་ཡོད་ཀྱི་རྩོམ་པ་པོ་ཚོས་ཤེས་ཀྱི་རེད། Tracy དེ་མིན་འོད་སྡེརདང་,"I collect autographed books, and those of you authors in the audience know I hound you for them -- and CDs too, Tracy.",ted2019
མ་ཟད། ངས་གྲོགས་པོ་ཚོར་རྒྱ་ནག་དང་རྒྱ་ནག་གི་དྲ་རྒྱའི་སྐོར་གླེང་མོལ་བྱས་པ་ཡིན།,"And also, I talked to friends about China and Chinese Internet.",ted2019
གལ་སྲིད་ཁྱོད་ཀྱིས་འདི་ལྟར་འཐེན་ན། ཁྱེད་ཀྱིས་མཐོང་ཐུབ་པ་ལྟར། འཕྲེད་ཀྱི་མདའ་རིང་གི་ཚུགས་ཀ་མི་འགྱུར་བར་འདུག་ཐུབ།,"And if you pull the cords under the knot, you will see that the bow orients itself along the transverse axis of the shoe.",ted2019
འཇིག་རྟེན་འདི་ འུ་ཅག་གི་བལྟས་ཚོད་ལས་ད་དུང་ཕུན་སུམ་ཚོགས་པ། རྒྱ་ཆེ་བ་ཤེས་སུ་བཅུག་པ་ཡིན།,"The world is richer, vaster than it too often seems to be.",ted2019
སྤྱི་ཚོགས་འབྲེལ་མཐུད་དྲ་བས་རྒྱ་རིགས་ཀྱི་བསམ་བློ་གཏོང་སྟངས་ལ་འགྱུར་བ་བཏང་བ་རེད།,Social media changed Chinese mindset.,ted2019
ང་ནི་གསར་ལམ་ཁག་ཏུ་ཁྱབ་པའི་མེག་སེས་ཁན་གྱི་མི་ཚོས་ སྐོར་གཅིག་པུར་འཐིམས་འདུག་པ་ཚོར། ཁོང་ཚོ་ནི་ངའི་སེམས་སུ་ ཐབས་སྡུག་གི་་གནས་སྤོ་བྱས་པ་ཁོ་ན་རེད།,"I realized that I had been so immersed in the media coverage of Mexicans that they had become one thing in my mind, the abject immigrant.",ted2019
རི་མོ་འདི་ཚོ་འདི་འདྲ་སེ་གཅིག་པ་གཅིག་རྐྱང་རེད།,There is no reason why these portraits should look alike.,ted2019
དེ་རིང་ང་ལ་རེ་བ་གཅིག་མ་གཏོགས་ཡོད།,Today I have just one request.,ted2019
དེ་འདྲ་སོང་ཙང་ཁོང་ཚོ་ནི་ཁྱེད་རང་ནད་མེད་དུས་ཕྱུག་པོ་ཆགས་པ་ལས་ནད་ཡོད་དུས་མིན,"They get rich when you're healthy, not sick.",ted2019
འདི་གནས་ཚུལ་མ་རེད། མི་ཚང་མས་སྔ་ས་ནས་འདི་ཤེང་གི་ཡོད་རེད།,"That is not a discovery, everybody knows it!",Tatoeba-2020.08
གུ་གལ་རྒྱ་ནག་ནས་ཕྱིར་འཐེན་བྱས་བའི་རྒྱུ་རྐྱེན་ཀྱང་དེ་ལ་ཐུག་ཡོད། ཁོང་ཚོས་རྒྱ་གཞུང་གིས་དྲ་རྒྱའི་ཨ་མ་དོ་དམ་ བྱེད་རྒྱུ་དེ་དང་ལེན་བྱེད་མ་ཐུབ་པ་རེད།,"That's also the reason Google was pulled out from China, because they can't accept the fact that Chinese government wants to keep the server.",ted2019
ཁོང་ཚོ་སློབ་གཉེར་བ་རེད།,They're students.,tatoeba
སྒྲུང་གི་མགོ་འཛུགས་ས་དེ་ཨ་ཧྤེ་རི་ཁའི་རྒྱལ་ཁབ་ཀྱི་ཕམ་ཁ་ནས་བཙུགས་རྒྱུ་ལས་ དབང་བསྒྲུར་བའི་བཟོས་བའི་ཨ་ཧྤེ་རི་ཁའི་རྒྱལ་ཁབ་སྐོར་ནས་མིན་ན་ སྤྱི་ཡོངས་ནས་སྒྲུང་གསར་བ་ཞིག་གྲུབ་ཁོ་ཐག་རེད།,"Start the story with the failure of the African state, and not with the colonial creation of the African state, and you have an entirely different story.",ted2019
ཡིན་ན་འང་། རྒྱ་ནག་གི་ཟིན་བྲིས་བ་བརྒྱ་ཆ་༩༩ཨ་རིའི་གཞུང་ཚབ་ཀྱི་ཕྱོགས་སུ་ལངས་ཡོད།,But 99 percent of Chinese microbloggers stand firmly on the Embassy's side.,ted2019
འོན་ཀྱང་། ངས་བསམ་བློ་མ་འཁོར་བ་ཞིག་ནི་ ངས་སྒྲུང་དེབ་ཞིག་བཀླགས་པ་དང་ དེའི་ནང་མི་སྣ་ཚང་མ་ལག་དམར་ཡིན་པ་དེས་ཨ་རི་ཡོད་ཚད་ཀྱི་ཚབ་མཚོན་ རེད་སྙམ་པ་དེ་རེད།,But it would never have occurred to me to think that just because I had read a novel in which a character was a serial killer that he was somehow representative of all Americans.,ted2019
གཏམ་རྒྱུད་རྐྱང་པ་ཞིག་གི་མཇུག་འབྲས་ནི་མི་མང་གིས་ཆེ་མཐོང་འཕྲོག་པ་དེ་རེད།,The consequence of the single story is this: It robs people of dignity.,ted2019
ལྷག་པར་ཐེངས་སྔོན་མར་དམག་མི་སྟོང་གཅིག་ལས་མངགས་མེད་པ་ཡིན་ན།,"It's relatively enormous if you've already committed 1,000 soldiers previously.",ted2019
ཁོང་མིང་ལ་ཧྥེ་ཏིས་ཟེར།,His name was Fide.,ted2019
ངས་ཁྱེད་ཐོས་བྱུང་། ཁྱེད་ནས་ང་སྙིང་སྟོབས་ཅན་བྱེད་དགོས་ཀྱི་ཡོད་པ་དེ་ཧ་གོ་གི་ཡོད་ཀྱང་། ད་ལྟ། ང་རང་ཚོར་བའི་དྲག་རླབས་ཀྱིས་ འཇིབས་ཤིང་། མཐའ་ནས་བསྐོར་ལ། རང་གི་རྣམ་ཤེས་གཙང་བཟོ་བྱེད་འདུན་དང་། གཞི་རྩ་བརྟན་པོ་ཞིག་གི་ཐོག་ཏུ། ཡང་བསྐྱར་ཐེངས་གཅིག་ལངས་ཏེ།མུ་མཐུད་འཐབ་རྩོད་དང་། ལས་རླུང་འཕྱུར་བའི་འབད་བརྩོན་ ཁྱེད་ཀྱི་ལབ་པ་ལྟར་བྱེད་ཀྱི་ཡོད།,"I hear you and I know that you would want me to be strong, but right now, I am being sucked down, surrounded and suffocated by these raging emotional waters, craving to cleanse my soul, trying to emerge on a firm footing one more time, to keep on fighting and flourishing just as you taught me.",ted2019
དེ་ནི་གཏམ་རྒྱུད་རྐྱང་པ་ཞིག་བཟོ་སྟངས་རེད།མི་རིགས་ཤིག་རྣམ་པ་གཅིག་ཏུ་བརྩི་ལ་ གཅིག་ཁོ་ནར་བརྩི་བ་དེ་རེད། ཡང་དང་བསྐྱར་དུ་ དེ་ནི་མི་རིགས་ཏེ་ཇི་ལྟར་ལྟ་སྟངས་འཛིན་མིན་དེ་རེད།,"So that is how to create a single story, show a people as one thing, as only one thing, over and over again, and that is what they become.",ted2019
C : ཁུངས་ཨང་རྒྱ་དགྲོལ་བྱ་རྒྱུ་ཡིན་ནམ།ཨ་ཙི།,CA: Open source?,ted2019
སྒྲོག་སྟངས་དམ་པོ་འདི་རེད། འདི་རང་གར་ལྷོད་ཀྱི་མ་རེད་ལ།,It will come untied less often.,ted2019
ཁྱོད་ཀྱིས་ལག་པ་གཉིས་ཀས་འགུལ་བ་ལའང་དཔྱད་ནུས། དེར་རྟེན་ལག་གཉིས་ཀྱི་སོར་མོས་བཙིར་འཐེན་བྱེད་ནས་་་ ཆེ་གཏོང་དང་ཆུང་གཏོང་བྱ་ཐུབ།,"We are giving you the freedom of using all of both of your hands, so you can actually use both of your hands to zoom into or zoom out of a map just by pinching all present.",ted2019
༼དགོད་སྒྲ༽ རི་མོ༡༡༠༠ལྷག་རེད་དཱ། གདོང་རིས་འདི་ཙམ་འབྲི་མྱོང་མཁན་ཉུང་ཉུང་ཡིན།,"(Laughter) But there are 1,100, and very few artists have drawn so many faces.",ted2019
ཟླ་བ་ཁ་ཤས་འགོར་རྗེས་་་་ ངས་ཁོ་གཞན་དང་མི་འདྲ་བ་ཤེས་སོང་།,"And after a few months went by, I realized that he was different.",ted2019
ང་ཚོར་སྟོབས་ཤུགས་ཅན་དང་།སྤྱང་པོ། གདེང་ཚོད་ཅན་གྱི་བུད་མེད་གཞོན་སྐྱེས་ཚོས་ཀྲོང་ངེར་ལངས་ཏེ་འགོ་འཁྲིད་མཁན་དགོས་ཀྱི་ཡོད།,"And we need strong, smart, confident young women to stand up and take the reins.",ted2019
ཡང་ན་ཨ་སྒོར་ ༢ཀྱི་ཙི་གུའི་ལག་བརྡའི་མ་ལག་ནི་་་ དེ་སྔོན་སྤྱིར་བཏང་ཨ་སྒོར་ ༥༠༠༠ ཙམ་ཡིན་གྱི་རེད།,"Or maybe even the $2 mouse gesture system at that time was costing around $5,000?",ted2019
དེའི་ནང་དུ་གསར་གནས་ཤིག་གི་རྒྱུ་ཆ་ཁག་ཀྱང་ཚང་ཡོད།,You can almost have all the journalistic elements there.,ted2019
ཁང་མིག་འདིའི་ནང་ གཉིད་ཀྱིས་མ་འདང་བའི་བུད་མེད་ཀྱིས་གང་ཡོད།,This is a room of sleep-deprived women.,ted2019
འཛམ་གླིང་མི་འབོར་སྤྱི་གྲངས་ཀྱི་དྲུག་ཆ་གཅིག་ནི་ས་དེ་འདྲར་འཚོ་བ་སྐྱེལ་བཞིན་གྲངས་ཀ་འདི་མ་འོངས་ལ་ཡང་ནས་འཕར་སྲིད།,One-sixth of humanity is there.,ted2019
ང་ནི་དངོས་གཟུཊ་དང་ཨང་ཀིའི་འཇིག་རྟེན་སྒྲིག་སྦྱོར་བྱ་རྒྱུར་མོས་པ་ཡོད། ངས་སྦྱར་ཤོག་དྲན་པ་དང་་་,"Because I was interested in integrating these two worlds, I thought of sticky notes.",ted2019
ཁོང་སྐུ་སྙུང་བའི་མི་ཚེའི་ཆེས་མཐའ་མཇུག་གི་ལོ་གཉིས་ཀྱི་རིང་ ང་ལ་བཟུང་བའི་བསམ་ཚུལ་ཁག་འབྲི་དེབ་གང་བྲིས་འདུག།,"In the last two years of his life, when he was sick, he filled a notebook with his thoughts about me.",ted2019
མིག་སྔར། དཔེར་བརྗོད་འདི་དག་ལས་མེད་ན་ཡང་།(གྲངས་རྩིས་ཀྱི་ལོ་རྒྱུས་འགྲེལ་བའི) ཁོ་བོས་བསམ་ན། མ་འོངས་པའི་བགྲང་བྱ་བཅུ་ལྷག་རིང་འདི་དག་འཐུས་ཚང་བར་འགྱུར་ངེས།,"So these types of examples, today there are just a few of them, but I think in the next decade they will become commonplace.",ted2019
ཚོང་བདག་གིས་ལྟ་ཙམ་བྱས་ཏེ། “ཨོ། ཁྱོད་ཀྱི་ལྷམ་ཐིག་མདུད་སྟངས་ནོར་བ་རེད”ཟེར།,"He took a look and said, ""Oh, you're tying them wrong.""",ted2019
འོན་ཀྱང་། དམིགས་བྱ་མེད་པའི་མཇུག་འབྲས་ནི་ ང་ལྟ་བུའི་མི་ཚོ་རྩོམ་རིག་གི་བརྗོད་བྱ་བྱས་ཆོག་པ་ ངས་ཧ་མ་གོ་བ་དེ་རེད།,But the unintended consequence was that I did not know that people like me could exist in literature.,ted2019
རྒྱ་ནག་གི་གནས་བབ་ཀྱང་དེ་མཚུངས་རེད།,Same was true for China.,ted2019
ཕ་དམ་པ་མཆོག་ན་ཚོད་དར་ལ་བབས་པའི་སྐབས་སུ་ འཕར་རྩ་སྐྲངས་བའི་ནད་ཀྱིས་མནར་ཡོད།,My dad was diagnosed with multiple sclerosis in the prime of his life.,ted2019
ཁྱེད་ཚོས་ཀྱང་ལམ་ཁ་འདིངས་ཐུབ།,You too can pave the way.,ted2019
ཁྱེད་ཀྱིས་ག་རེ་བསམ་བྱུང་།,What do you say?,ted2019
ཡིན་ནའང་དོན་དག་ཁ་ཤས་དྲན་ཐུབ་ཀྱིན་མེད།,"He has a selective one, though.",ted2019
མ་གནས་ཕན་འབྲས་ཕྱོཊ་ནས་བལྟས་ན་་་ མ་ལག་འདི་ནི་ཨ་སྒོར་ ༣༠༠ ལས་མི་དགོས། ཨ་སྒོར་ཁྲི་ ༢ཀྱི་ཅོག་ངོས་རྩིས་འཁོར་དང་གཤིབ་བསྡུར་བྱེད་ན།,"And now, if you see, it's more about the cost-effectiveness: this system costs you $300 compared to the $20,000 surface tables, or anything like that.",ted2019
ཁྱེད་ཅག་གི་མིག་ལམ་དུ་ཁ་དོག་དཀར་ནག་གཉིས་ལས་མེད་ཀྱང་། ངའི་མིག་ལམ་དུ་འདི་ཚོར་ཚོན་མདངས་ཡོད་པ་རེད།,"The sketches are in black and white here, but in my mind they have colors.",ted2019
ང་འཇིག་རྟེན་བྱེད་མཁན་ལ་ཡིད་ཆེས་བྱེད་ཀྱི་མེད།,I don't believe in God.,tatoeba
གལ་སྲིད་ཁྱོད་ཀྱིས་འདི་ལྟར་ལྷམ་ཐིག་གི་གཤམ་ནས་ཕར་ཚུར་ལ་འཐེན་པ་ཡིན་ན། ཁྱེད་ཀྱིས་མཐོང་པ་ནང་བཞིན་ རང་བཞིན་གྱིས་མདའ་རིང་གི་ཚུགས་ཀར་འགྱུར་གྱི་འདུག་ལ།,"If you pull the strands at the base of the knot, you will see that the bow will orient itself down the long axis of the shoe.",ted2019
རྒྱལ་ཁབ་འདི་དག་གི་ཡར་རྒྱས་འགྲོ་བཞིན་པའི་དཔལ་འབྱོར་གྱིས་འཛམ་གླིང་ དཔལ་འབྱོར་བསྐྱར་གསོ་ལ་ཕན་ཐོགས་ཀྱི་ཡོད།,This emerging economy really is helping the revival of the world economy.,ted2019
མི་ཁ་ཤས་ཀྱིས་མི་ཆོས་རིག་ཚན་ཁག་ལ་གྲངས་རིག་གིས་འགྲེལ་རྒྱག་མི་ཐུབ་སྙམ་ཡོད་དེ། དེས་མིའི་བྱ་བྱེད་དང་ ལོ་རྒྱུས་ལ་ཚད་གཞལ་ཐབས་མེད་པར་འདོད་ཡོད།,"I think there's a belief that it's just impossible, that you cannot quantify the doings of mankind, that you cannot measure history.",ted2019
ཁོང་གིས་མི་གཞན་ལ་ལས་ཀ་བཙལ་རོགས་བྱས་པ་རེད། དཀའ་ངལ་ཆེ་བའི་ཁྱིམ་མཚེས་གཡས་གཡོན་གྱི་ནང་དུ་ཐོན་ཁུངས་ཤིག་འཁྱེར་ཡོང་ཐབས་བྱས་བ་རེད།,"He worked, helping people to find jobs and to try to bring resources into struggling neighborhoods.",ted2019
གློག་ཀླདགང་ཟག དང དཔེ་བསྐྲུན ཕྱི་རུ ༢༠༠༠.,The Sims was released in 2000.,Zubaan Ka Aashiq
ཆག་གྲུམ་ཤོར་བ་དང་ཡར་རྒྱས་གོང་འཕེལ་འགྲོ་བཞིན་པའི་ཚོགས་སྡེ་གཉིས་ཀྱི་ཁྱད་པར་ནི། སྤྱི་ཚོགས་ཀྱི་ཆེད་དུ་ནུས་པ་འདོན་མཁན་གྱི་སྐྱེས་པ་དང་བུད་མེད་གཉིས་ཀྱི་ དབར་ལ་ཚུལ་མཐུན་གྱི་གུས་ཞབས་ཡོད་མེད་དེ་རེད།,The difference between a broken community and a thriving one is often the healthy respect between men and women who appreciate the contributions each other makes to society.,ted2019
ངས་ཨ་ཧྥི་རི་ཁ་ནི་ངས་ཧྥེ་ཏིས་ཀྱི་ཁྱིམ་ཚང་ལ་ ལ་བཟུང་བའི་བྱིས་དུས་ཀྱི་ལྟ་སྟངས་དེ་ཡིན་རྒྱུ་རེད།,"I would see Africans in the same way that I, as a child, had seen Fide's family.",ted2019
དེ་རྗེས་མ་ལག་ཆུང་ངུ་འདིས་གནས་ཡུལ་ལྕཊ་པར་བརྒྱབ་ཀྱི་ཡོད། འདི་ནི་ཤོག་བུས་བཟོས་པའི་ནང་འཇུག་ཕྱིར་འདོན་མ་ལག་ཅིག་དང་མཚུངས། ཤོག་བུ་ཁོ་ནས་བཟོ་ཐུབ་ཀྱི་རེད།,"and this small system actually prints it out -- so it actually acts like a paper input-output system, just made out of paper.",ted2019
( དགོད་སྒྲ ) ལག་རྩལ་འདིའི་རིཊ་དང་དངོས་གཟུཊ་ཀྱི་འཚོ་བ་བསྲེས་ན་་་ བསམ་པའི་བཀོད་ཤུཊ་ནི་ང་ཅག་ཚོད་འཛིན་ཐུབ་པའི་་་ ནུས་སྟོབས་ཉག་གཅིག་ཡིན་པར་ང་རང་ལ་ཡིད་ཆེས་ཡོད།,And I think the imagination is the only limit of what you can think of when this kind of technology merges with real life.,ted2019
ཨ་རིའི་ས་སྐྱེས་རྡོ་སྐྱེས་ཀྱི་མི་རིགས་ཀྱི་མདའི་སྐོར་འགོ་བཙུགས་པ་ལས་ དབྱིན་ཇིའི་མི་རིགས་ཡོང་བ་དེ་མི་བཤད་རྒྱུ་དེ་རེད། དེས་ན་ཁྱེད་ལ་རྩ་ནས་མི་འདྲ་བའི་གཏམ་རྒྱུད་ཅིག་ཡོད་ངེས་རེད།,"Start the story with the arrows of the Native Americans, and not with the arrival of the British, and you have an entirely different story.",ted2019
ཁེར་རྐྱང་ཡིན་མིན་གང་ཡིན་རུང་་་་་ ང་ཚོ་བར་ལ་ཁྱད་པར་ཡོད། ང་ཚོ་ལ་ལེགས་སྐྱེས་རེ་ཐོབ་ཡོད། མི་རེ་ལ་ནང་སེམས་ཀྱི་ལེགས་སྐྱེས་རེ་ཐོབ་ཡོད།,"Because autistic or not, the differences that we have -- We've got a gift!",ted2019
ཁྱེད་ཚོ་རྒྱལ་སྤྱིའི་མིག་མངས་རྩེ་མྱོང་ན། 64ནི་རང་ཉིས་སྒྱུར་གྱི་གྲངས་ཤིག་ཡིན་པ་ ཁྱེད་ཀྱིས་ཤེས་ཀྱི་རེད། འདི་ནི་མིག་མངས་ལ་ 8×8 རེའུ་མིག64ཡོད་དོན་རེད།,"If some of you play chess, you'll know that 64 is a square number, and that's why chessboards, eight by eight, have 64 squares.",ted2019
འདྲི་ཚིག་གཉིས་པ་དེ་འཁྱཊ་གླིང་སྐད་ཀྱི་ཐ་སྙད་ཅིག་རེད།,The second question was an Icelandic word.,ted2019
དེ་དག་དུས་ཀྱི་སྔ་ཕྱི་ལྟར་བྲིས་པ་ཡིན་འདུག,They are made in the right order.,ted2019
ང་དང་གཅེན་པོ་གཉིས་ང་ཚོར་ངེས་པར་དུ་མཁོ་བ་དག་དང་མཉམ་དུ་ནར་སོན་བྱས། དེ་ནི་བརྩེ་བ་དང་། རིན་ཐང་། ཤེས་ཡོན་ཚད་ལྡན་དང་། འབད་པ་ལྷུར་ལེན་བྱས་ན་ང་ཚོས་ བསྒྲུབ་མི་ཐུབ་པའི་བྱ་བ་གཅིག་ཀྱང་མེད་པའི་ཡིད་ཆེས་བཅས་ཀྱི་མཉམ་དུ་འཚར་ལོངས་བྱས།,"And my brother and I were raised with all that you really need: love, strong values and a belief that with a good education and a whole lot of hard work, that there was nothing that we could not do.",ted2019
ངས་ཇི་ལྟར་བྱེད་མིན་ཤེས་ཀྱི་མིའདུག་ཀྱང་། ཨ་ཕ་དང་རང་གི་བསམ་བློ་རྣམས་ཕྱོགས་སྒྲིག་ཀྱི་དེབ་ཅིག་འདོན་པའི་ཆོད་སེམས་ཡོད། པར་སྐྲུན་ཟིན་པའི་དེབ་དེ་ངའི་བུ་ཆུང་ལ་ཤུལ་དངོས་སུ་འཇོག་གི་ཡིན།,"I have no idea how I'm going to do it, but I am committed to compiling his thoughts and mine into a book, and leave that published book for my son.",ted2019
ཁོང་ཚོ་ནི་གྲོང་ཁྱེར་གྱི་འཛུགས་སྐྲུན་པ་གཙོ་བོ་ཡིན་པ་མ་ཟད། གྲོང་ཁྱེར་གྱི་ཇུས་འགོད་པ་གཙོ་གྲས་ཀྱང་ལགས།,"They're the dominant builders and to a large extent, the dominant designers.",ted2019
ཁྱེད་ཚོས་རེ་བ་དེ་མངོན་འགྱུར་བྱེད་ཐུབ་པ་ཤེས་ཀྱི་ཡོད།ང་ཚོར་ཁྱེད་ཚོར་དུང་བ་ཟབ།བཀའ་དྲིན་ཤིན་ཏུ་ཆེ།,We love you.,ted2019
ཡི་གེའང་ཨང་ཀི་དང་མཚུངས་པར། ཕྱི་རོལ་ཡུལ་དང་དོན་རྐྱེན་ སྟོབས་ཤུགས་སོགས་ འཇིག་རྟེན་འགྲུབ་བྱེད་འདི་དག་གི་ ངོ་བོའམ་གཤིས་ཀྱི་འབྲེལ་བ་དེ་མཚོན་ཐུབ་ཀྱི་ཡོད།,"Words, like numbers, express fundamental relationships between objects and events and forces that constitute our world.",ted2019
ཚད་མེད་གྲངས་(infinite number)ཤིག་རེད། གཞུང་ལུགས་ཀྱི་སྟེང་ནས་གྲངས་ཀ་དེ་ལ་མཐའ་ཡོད་པ་མ་རེད།,It's an infinite number -- literally goes on forever.,ted2019
སྐབས་རེར་སྟབས་ལེགས་ན་རང་ཉིད་ཀྱི་དཀའ་ངལ་གྱི་སྒྲུང་དེར་ གསར་འགོད་པ་དང་། སློབ་དཔོན། མི་སྣ་གྲགས་ཅན་ཚོས་དོ་སྣང་སྤྲད་སྲིད།,"So your sad stories, by some chance your story will be picked up by reporters, professors or celebrities.",ted2019
འདི་ཚུགས་ཐུབ་གྲངས་(prime number)གཉིས་ཀྱི་སྒྱུར་ཐབས་རེད།,It's a multiplication of two prime numbers.,ted2019
འོ་སྐོལ་ཁོང་གི་བརྩམས་ཆོས་རླབས་ཆེན་བ་དག་སྟེ་ ཁོང་གི་རི་མོ་དང་། གསར་གཏོད། བྲིས་རྩོམ་ལ་ཆ་རྒྱུས་ཡོད་ཀྱི་རེད།,"We're all familiar with his fantastic work -- his drawings, his paintings, his inventions, his writings.",ted2019
གལ་ཏེ། ངའི་ཤག་རོགས་ཀྱིས་ངའི་སྐྲ་ལྷས་མ་སླེ་མཁན་མིག་རྒྱང་ཅན་ཏེ་ ཁོ་མོས་རང་གི་སྐྲ་བཟོའི་ཚོང་འགོ་བཙུགས་པ་དེའི་སྐོར་ཤེས་ཀྱི་ཡོད་པའམ།,"What if my roommate knew about my wonderfully ambitious hair braider, who has just started her own business selling hair extensions?",ted2019
